Total: 345
1787.8333333333333 	 ...
2026 	 
2861.6666666666665 	 .
3372.3333333333335 	 .
3506.5 	 .
3653 	 
4330 	 .
4431 	 
4589.5 	 .
4979 	 .
5184 	 
5530 	 
5648.333333333333 	 .
5894.1 	 .....
6012 	 ..
6142 	 ......
6296.105263157895 	 ...........
6427.285714285715 	 ........
6574.714285714285 	 ....
6677.8 	 ..
6778 	 
6982.75 	 ..
7392.2 	 ..
7655 	 
7903 	 
8017 	 
8414 	 
8695.5 	 .
8991 	 
9345 	 .
9498.75 	 ..
9792.5 	 .
9939 	 .
10133.5 	 .
10285 	 
10417 	 .
10575.5 	 .
10751.5 	 .
10925.5 	 .
11049.25 	 ..
11250 	 .
11426.5 	 .
11533.875 	 ....
11637.333333333334 	 ...
11773.2 	 ........
11927.615384615385 	 .......
12042.5 	 ......
12159.153846153846 	 .......
12311.375 	 ....
12424.25 	 ....
12531.57142857143 	 ....
12732.57142857143 	 ....
12911.714285714286 	 ....
13068.6 	 ..
13210 	 
13369.6 	 ..
13515.666666666666 	 .
13658.5 	 ..
13831.25 	 ..
14086 	 .
14211.666666666666 	 .
14330 	 ..
14470.75 	 ..
14598.5 	 .
14789 	 .
14915.5 	 .
15111 	 
15216 	 .
15342 	 
15442 	 
15597.666666666666 	 .
16178 	 ..
16393 	 
16550 	 
16743 	 .
16929 	 .
17072.5 	 .
17322.666666666668 	 .
17557 	 
17927.5 	 .
18044 	 
18194 	 ..
18496 	 
18642 	 
19165 	 
19394 	 
19849 	 
20672 	 
23352 	 
27373 	 
29962 	 
35653 	 
35785 	 
36232 	 
37661 	 
54859 	 
115119 	 
124107 	 
185462 	 
230367 	 
