Total: 284
2532 	 .
2881 	 
2990 	 .
3287 	 
3468 	 
3780 	 
3899 	 
4091 	 
4291 	 
4447 	 ..
4622 	 
5239 	 
5511 	 .
5894.5 	 .
6021.5 	 ..
6217 	 ....
6341.125 	 .....
6446.166666666667 	 ....
6582 	 .....
6733.714285714285 	 ....
6857 	 .
6972.5 	 .
7122.666666666667 	 ..
7399 	 .
7555 	 .
7747.5 	 .
7988 	 
8113 	 
8324 	 
8976.5 	 .
9093 	 
9493 	 ..
9744 	 .
9934.333333333334 	 ..
10076 	 
10275 	 
10384.833333333334 	 ....
10654.5 	 ..
10912.5 	 .
11254.8 	 ...
11455.714285714286 	 ....
11618.545454545454 	 .......
11768 	 ....
11894.666666666666 	 ........
12024.666666666666 	 ......
12180.125 	 .....
12326 	 ..
12481.142857142857 	 ....
12634 	 ...
12811.333333333334 	 ....
12971 	 ...
13130 	 ..
13318.222222222223 	 ......
13547 	 
13756 	 
14065.5 	 .
14325 	 
14445 	 
14607 	 ..
14981.666666666666 	 ..
15176 	 
15419 	 ..
15668.6 	 ...
15892 	 
16040.5 	 .
16182.666666666666 	 ..
16529.333333333332 	 ..
16701.666666666668 	 ..
16822 	 
16955 	 
17286.85714285714 	 ....
17471.333333333332 	 ..
17613 	 
17762.5 	 ..
17899 	 
18053 	 .
18340 	 
18558 	 
18806.5 	 .
19044.666666666668 	 ..
19229 	 ..
19686.5 	 .
19795 	 
19917.5 	 .
20580.5 	 .
21375 	 
24007 	 
25821 	 
33407 	 
35657.5 	 .
36163 	 
36348 	 
36688 	 
38583.5 	 .
40398 	 
51712 	 
126359 	 
140178 	 
470437 	 
1e+06 	 
