Total: 152
5415 	 .
5906 	 .
7397 	 .
8076 	 .
8721.333333333334 	 ...
9027 	 .
9330 	 .
9595 	 .
9863.5 	 ..
10369.666666666666 	 ...
11796 	 .
12437 	 .
12777 	 .
13247 	 .
14060 	 .
15889 	 .
16340 	 .
16709 	 .
17339.5 	 ..
17594.85714285714 	 .........
18836 	 ..
19300 	 .
19582.5 	 ..
19784 	 .
20470 	 .
20953 	 .
21283 	 .
21791 	 .
22764.333333333332 	 ...
23331 	 .
23545 	 ...
24054 	 ...
24294 	 ...
24506 	 .
24820 	 .
25357 	 .....
25571.75 	 .....
25773.5 	 ..
26182 	 .
26476.666666666668 	 ...
27128.5 	 ..
27316 	 .
27920 	 .
28681.5 	 ..
29410 	 .
30268 	 .....
30803 	 .
31177 	 .....
31502 	 .
32059 	 .
32637 	 .
32988.5 	 ..
33368 	 .
33968.5 	 ..
34308 	 ..
34665.5 	 ..
35079.5 	 ..
35584 	 .
35856 	 .
36166 	 .
36419 	 .
37895 	 .
39012 	 .
39358 	 .
39679 	 .
39863 	 .
40150 	 .
40332 	 .
40678.333333333336 	 ...
41042 	 .
41606.5 	 ..
41967 	 .
42394 	 .
43174 	 .
43884 	 .
44067 	 .
44263 	 .
44849 	 .
45430 	 ...
47214 	 .
47467 	 .
47661 	 .
48279 	 .
48581 	 .
49039.333333333336 	 ...
50449 	 .
51518 	 .
52159 	 .
52466.5 	 ..
53688 	 .
57365 	 .
58922 	 .
62385 	 .
63024 	 .
70941 	 .
72491 	 .
73346 	 .
76016 	 .
109115 	 .
585936 	 .
